elo,games,remakes,playing_time,kills,deaths,assists,gold,pentakills,wards,minions,damage,champion_1,champion_2,champion_3
Diamond III,77,3,1.6,418,373,404,828.9k,0,356,11.9k,1.2m,Mordekaiser,Kalista,Irelia
Diamond I,91,0,1.8,557,456,609,1.0m,0,799,15.1k,1.5m,Poppy,Lulu,Irelia
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Thresh,Rakan,Alistar
Diamond IV,174,4,3.5,1.1k,685,817,1.9m,0,1.4k,31.3k,3.1m,LeBlanc,Zed,Jhin
Diamond III,0,0,0.0,0,0,0,0,0,0,0,0,Master Yi,Irelia,Katarina
Unranked,6,0,2.8,35,34,63,54.1k,0,153,139,81.3k,Annie,Ekko,Fiddlesticks
Platinum I,178,2,3.6,1.2k,730,1.3k,2.1m,1,1.3k,30.7k,3.2m,Ahri,Syndra,Cassiopeia
Diamond IV,71,0,1.4,392,275,519,807.6k,0,489,13.9k,1.2m,Caitlyn,Ashe,Jinx
Diamond IV,0,0,0.0,0,0,0,0,0,0,0,0,Twitch,Jhin,Soraka
Diamond IV,25,1,11.8,125,146,107,275.3k,0,161,4.6k,378.9k,Shyvana,Garen,"RekSai"
Unranked,173,2,3.3,937,1.1k,1.2k,1.8m,0,1.7k,23.2k,2.7m,Jinx,Draven,Rengar
Diamond III,10,0,4.9,51,57,49,116.9k,0,99,1.9k,173.5k,Draven,Vayne,Xayah
Unranked,7,0,3.4,55,40,51,84.1k,0,52,1.2k,136.4k,Mordekaiser,Volibear,Gangplank
Diamond IV,4,0,1.8,28,18,26,43.0k,0,32,517,66.7k,Wukong,Graves,Rengar
Diamond III,0,0,0.0,0,0,0,0,0,0,0,0,Malzahar,Gangplank,Kayn
Diamond IV,8,0,3.6,20,43,84,61.0k,0,84,660,65.9k,Kindred,Sion,Draven
Diamond IV,94,2,1.9,468,515,564,1.0m,0,1.1k,15.6k,1.7m,Zilean,Yasuo,"ChoGath"
Diamond III,2,0,57.9,6,5,12,20.4k,0,12,391,22.1k,Teemo,Malzahar,Vayne
Diamond IV,80,0,1.5,617,323,321,990.6k,0,748,15.8k,1.5m,Riven,Irelia,Jax
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Ezreal,Lee Sin,Aatrox
Diamond IV,23,0,10.4,127,120,75,248.0k,1,181,4.2k,313.2k,Darius,Tryndamere,Yasuo
Master,26,0,12.1,118,206,93,299.1k,0,186,4.9k,620.4k,Veigar,Jhin,Garen
Diamond IV,65,1,1.3,311,289,429,717.3k,0,661,11.2k,1.1m,Brand,Garen,Urgot
Diamond IV,15,0,6.8,109,82,89,161.6k,0,159,2.2k,266.7k,Heimerdinger,Thresh,LeBlanc
Diamond IV,20,0,8.5,80,117,130,191.5k,0,161,3.3k,279.9k,Yasuo,Orianna,Twisted Fate
Diamond IV,91,1,1.8,367,486,870,929.9k,0,986,12.0k,1.3m,Shen,Bard,Quinn
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Unranked,99,1,1.9,538,524,632,974.3k,0,706,12.7k,1.3m,"KhaZix",Kayn,Ekko
Diamond IV,221,2,4.4,722,1.1k,2.2k,1.9m,0,5.3k,8.0k,1.8m,Pyke,Vayne,Jhin
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Braum,Soraka,Taric
Unranked,6,0,3.1,64,33,58,80.6k,0,42,1.1k,169.7k,Lee Sin,Jarvan IV,Lux
Unranked,5,0,2.7,18,31,59,57.9k,0,27,817,77.0k,Anivia,Vayne,Rammus
Diamond I,0,0,0.0,0,0,0,0,0,0,0,0,Azir,Gnar,Yasuo
Diamond IV,0,0,0.0,0,0,0,0,0,0,0,0,Rengar,Vayne,Trundle
Diamond IV,1,0,21.8,1,6,2,6.7k,0,7,138,6.9k,Ryze,Riven,Zed
Unranked,7,0,3.3,32,34,36,81.2k,0,65,1.5k,134.1k,Taliyah,Vladimir,Brand
Diamond IV,36,0,15.7,211,186,283,375.5k,0,287,4.9k,506.6k,Jinx,Vayne,LeBlanc
Unranked,92,0,1.9,572,468,655,1.0m,0,966,14.9k,1.4m,Amumu,Graves,Gragas
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Morgana,LeBlanc,Lux
Diamond IV,0,0,0.0,0,0,0,0,0,0,0,0,Yasuo,Vayne,Riven
Diamond IV,68,0,1.3,351,245,581,713.9k,0,733,9.6k,1.1m,Katarina,Kalista,Vayne
Diamond II,48,0,21.9,271,171,243,540.5k,0,401,8.7k,706.5k,Renekton,Darius,Rengar
Diamond III,17,0,7.2,173,97,101,206.7k,0,85,2.5k,340.2k,"RekSai",Rengar,Riven
Platinum I,55,0,1.1,452,320,448,709.7k,0,590,10.3k,1.3m,Kalista,Bard,Ezreal
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Gangplank,Swain,Kassadin
Diamond IV,54,0,1.1,448,275,342,635.8k,0,421,9.1k,1.1m,LeBlanc,Azir,Lee Sin
Unranked,122,3,2.4,251,862,1.6k,1.0m,0,2.5k,2.3k,868.3k,Thresh,Braum,Akali
Diamond IV,182,3,3.6,1.3k,1.1k,1.4k,2.1m,1,1.6k,32.8k,4.1m,Aatrox,Ahri,Akali
Diamond II,297,3,5.5,2.0k,1.8k,2.3k,3.3m,0,2.3k,43.6k,5.3m,Lucian,Vayne,Draven
Diamond IV,10,0,4.6,35,49,132,89.3k,0,165,481,110.9k,Ahri,Lux,Lulu
Diamond IV,88,1,1.7,584,273,552,1.0m,0,857,17.5k,1.7m,Ahri,Xerath,Thresh
Unranked,31,2,14.7,46,110,441,243.9k,0,699,314,179.0k,Nami,Janna,Lulu
Unranked,180,4,3.6,1.1k,555,1.2k,2.0m,0,1.9k,31.3k,3.2m,Lucian,Vayne,Thresh
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Shaco,Bard,Udyr
Diamond III,0,0,0.0,0,0,0,0,0,0,0,0,Riven,Ekko,Camille
Diamond IV,0,0,0.0,0,0,0,0,0,0,0,0,Lucian,Zed,Yasuo
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Shen,Gnar,Taric
Diamond II,0,0,0.0,0,0,0,0,0,0,0,0,Elise,Nidalee,Ahri
Diamond IV,0,0,0.0,0,0,0,0,0,0,0,0,Kayn,Zed,Udyr
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Azir,Viktor,Twisted Fate
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Garen,Draven,Lux
Diamond IV,0,0,0.0,0,0,0,0,0,0,0,0,Kindred,"ChoGath",Lulu
Diamond III,0,0,0.0,0,0,0,0,0,0,0,0,LeBlanc,Orianna,Nidalee
Diamond III,0,0,0.0,0,0,0,0,0,0,0,0,Gnar,Irelia,Jarvan IV
Diamond II,0,0,0.0,0,0,0,0,0,0,0,0,Zyra,Rakan,Akali
Diamond II,0,0,0.0,0,0,0,0,0,0,0,0,Jhin,Sivir,Lucian
Diamond III,0,0,0.0,0,0,0,0,0,0,0,0,Viktor,Yasuo,Zed
Platinum IV,0,0,0.0,0,0,0,0,0,0,0,0,Zed,Twitch,Fiora
Diamond III,0,0,0.0,0,0,0,0,0,0,0,0,Vayne,Lucian,Tristana
Platinum II,0,0,0.0,0,0,0,0,0,0,0,0,Bard,Kayn,Blitzcrank
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Irelia,Nautilus,Lucian
Diamond IV,0,0,0.0,0,0,0,0,0,0,0,0,Ezreal,Xerath,Viktor
Platinum I,0,0,0.0,0,0,0,0,0,0,0,0,Riven,Janna,Akali
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Blitzcrank,Lux,Gangplank
Diamond IV,0,0,0.0,0,0,0,0,0,0,0,0,Darius,Jinx,Draven
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Elise,Lee Sin,Nunu & Willump
Diamond IV,0,0,0.0,0,0,0,0,0,0,0,0,Thresh,Braum,Nami
Diamond IV,0,0,0.0,0,0,0,0,0,0,0,0,Nunu & Willump,Udyr,Rammus
Diamond IV,0,0,0.0,0,0,0,0,0,0,0,0,Miss Fortune,Quinn,Xayah
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Tristana,Aatrox,Ahri
Silver IV,56,1,1.1,339,282,500,598.6k,0,422,7.1k,717.5k,Kled,Jax,Jinx
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Vayne,Garen,Ekko
Bronze III,16,1,7.5,76,76,78,145.4k,0,72,1.8k,221.8k,Morgana,Caitlyn,Xayah
Bronze IV,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Bronze IV,1,0,28.2,6,5,4,9.6k,0,8,110,13.0k,Kayle,Caitlyn,Shyvana
Bronze IV,0,0,0.0,0,0,0,0,0,0,0,0,Akali,Sona,Janna
Silver IV,0,0,0.0,0,0,0,0,0,0,0,0,Master Yi,Yasuo,Leona
Gold IV,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Silver III,0,0,0.0,0,0,0,0,0,0,0,0,Ekko,Yasuo,Vayne
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Miss Fortune,Morgana,Illaoi
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Tryndamere,"VelKoz",Nautilus
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Thresh,Leona,Taric
Unranked,7,0,3.8,63,27,48,88.1k,1,30,1.1k,160.3k,Vayne,Garen,Ekko
Bronze III,77,11,1.6,362,388,519,741.9k,0,386,8.8k,1.2m,Morgana,Caitlyn,Xayah
Bronze II,175,21,3.9,366,714,1.9k,1.5m,0,2.9k,6.8k,1.4m,Alistar,Soraka,Sivir
Bronze IV,0,0,0.0,0,0,0,0,0,0,0,0,Ashe,Teemo,Master Yi
Bronze IV,3,0,1.5,8,19,35,25.0k,0,62,36,29.8k,Akali,Sona,Janna
Bronze I,0,0,0.0,0,0,0,0,0,0,0,0,Vayne,Yasuo,Jhin
Silver II,2,0,1.1,12,14,8,21.1k,0,20,304,33.8k,Zed,Ahri,Yasuo
Silver I,0,0,0.0,0,0,0,0,0,0,0,0,Leona,Braum,Evelynn
Silver IV,0,0,0.0,0,0,0,0,0,0,0,0,Akali,Yasuo,Vayne
Silver I,0,0,0.0,0,0,0,0,0,0,0,0,Kalista,Udyr,Ahri
Gold I,0,0,0.0,0,0,0,0,0,0,0,0,Quinn,Zilean,Ezreal
Gold I,0,0,0.0,0,0,0,0,0,0,0,0,Vayne,Fizz,Ezreal
Gold IV,4,0,2.1,25,23,37,43.0k,0,48,479,65.8k,Yasuo,Thresh,Zed
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Poppy,Taric,Miss Fortune
Silver III,80,3,1.7,726,479,600,990.4k,0,665,13.1k,1.9m,Ekko,Yasuo,Vayne
Unranked,3,0,1.5,37,8,19,38.8k,0,26,453,73.6k,Graves,Talon,Jhin
Gold IV,0,0,0.0,0,0,0,0,0,0,0,0,Talon,Jayce,Rumble
Silver I,0,0,0.0,0,0,0,0,0,0,0,0,Thresh,Blitzcrank,Xin Zhao
Platinum IV,0,0,0.0,0,0,0,0,0,0,0,0,Ashe,Nasus,Miss Fortune
Platinum II,0,0,0.0,0,0,0,0,0,0,0,0,Zac,Janna,Lulu
Gold II,0,0,0.0,0,0,0,0,0,0,0,0,Zyra,Yorick,Taric
Platinum III,0,0,0.0,0,0,0,0,0,0,0,0,Zilean,Blitzcrank,Nocturne
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Riven,Vayne,Yasuo
Platinum II,0,0,0.0,0,0,0,0,0,0,0,0,Lee Sin,Yasuo,Lucian
Platinum I,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Bronze I,7,0,3.6,25,66,59,62.4k,0,72,792,111.7k,Vayne,Yasuo,Jhin
Silver IV,73,5,1.5,607,349,449,897.5k,1,647,12.2k,1.2m,Master Yi,Yasuo,Leona
Silver II,3,0,1.6,13,22,22,38.0k,0,25,618,75.6k,Mordekaiser,Tristana,Jinx
Silver I,46,4,23.8,339,250,438,549.8k,0,417,6.4k,637.5k,Leona,Braum,Evelynn
Silver IV,22,2,11.7,224,142,165,285.7k,0,171,3.3k,499.0k,Akali,Yasuo,Vayne
Silver II,3,0,1.4,20,19,15,32.5k,0,26,451,42.0k,Yasuo,Gangplank,Zed
Silver I,60,4,1.2,360,243,422,659.6k,0,383,8.8k,919.5k,Kalista,Udyr,Ahri
Unranked,1,0,42.5,4,10,20,14.0k,0,12,209,26.2k,Pantheon,Jinx,Nautilus
Gold I,179,6,3.7,1.3k,1.2k,1.5k,1.9m,0,842,21.5k,3.2m,Quinn,Zilean,Ezreal
Gold III,11,2,5.6,75,67,97,129.6k,0,86,1.7k,199.4k,Kayn,Lucian,Fizz
Gold I,88,6,1.9,700,645,626,1.1m,0,934,14.6k,2.1m,Vayne,Fizz,Ezreal
Unranked,5,0,2.5,52,20,38,60.7k,0,40,710,107.5k,Graves,Talon,Jhin
Gold IV,30,0,15.1,146,183,224,303.6k,0,198,4.1k,402.6k,Talon,Jayce,Rumble
Platinum IV,28,2,13.7,161,176,207,290.8k,0,207,4.1k,519.7k,Ashe,Nasus,Miss Fortune
Platinum II,2,0,53.0,14,10,12,22.0k,0,16,306,28.7k,Zac,Janna,Lulu
Gold II,34,1,17.4,133,231,261,343.6k,0,434,4.4k,464.3k,Zyra,Yorick,Taric
Platinum IV,6,1,3.0,36,37,51,71.7k,0,42,1.0k,123.0k,Vayne,Lucian,Lee Sin
Unranked,23,0,12.2,189,105,111,316.3k,1,194,4.9k,551.5k,Riven,Vayne,Yasuo
Platinum IV,0,0,0.0,0,0,0,0,0,0,0,0,Ezreal,"KaiSa",Lucian
Platinum I,0,0,0.0,0,0,0,0,0,0,0,0,Ezreal,Lucian,Karma
Platinum II,8,0,3.9,44,13,59,85.1k,0,107,1.5k,190.1k,Lee Sin,Yasuo,Lucian
Platinum III,18,0,10.0,110,113,146,235.6k,0,211,3.7k,403.5k,Renekton,Master Yi,Xin Zhao
Platinum IV,0,0,0.0,0,0,0,0,0,0,0,0,Braum,Thresh,Leona
Platinum IV,0,0,0.0,0,0,0,0,0,0,0,0,Lucian,Vayne,Jhin
Diamond IV,2,0,39.7,4,7,4,11.8k,0,11,218,15.5k,Malzahar,Blitzcrank,Taric
Platinum I,18,0,8.9,177,79,135,223.1k,0,127,3.0k,410.2k,Draven,Yasuo,Gangplank
Bronze II,204,23,4.6,453,865,2.2k,1.8m,0,3.3k,8.5k,1.8m,Alistar,Soraka,Sivir
Silver II,9,0,4.6,31,65,70,88.7k,0,80,1.2k,135.1k,Mordekaiser,Tristana,Jinx
Silver III,73,4,1.5,503,377,441,775.8k,0,778,9.7k,1.1m,Aatrox,Ahri,Akali
Silver II,73,3,1.5,422,454,449,799.3k,0,641,11.1k,1.3m,Aatrox,Ahri,Akali
Silver I,119,7,2.5,713,537,1.0k,1.3m,0,924,15.6k,1.8m,Kalista,Udyr,Ahri
Unranked,14,1,7.2,54,82,116,138.6k,0,179,2.0k,233.2k,Pantheon,Jinx,Nautilus
Gold I,197,6,4.0,1.4k,1.3k,1.7k,2.1m,0,924,23.8k,3.6m,Quinn,Zilean,Ezreal
Gold I,152,7,3.2,1.1k,1.1k,1.1k,1.9m,0,1.6k,25.2k,3.3m,Vayne,Fizz,Ezreal
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Unranked,11,0,5.4,98,52,86,125.5k,0,92,1.5k,226.5k,Graves,Talon,Jhin
Unranked,25,2,12.4,134,99,215,238.2k,0,222,2.6k,334.3k,Tryndamere,"VelKoz",Nautilus
Silver I,5,0,2.8,17,17,68,48.2k,0,153,213,61.5k,Thresh,Blitzcrank,Xin Zhao
Platinum II,29,1,13.7,119,127,232,282.7k,0,322,4.0k,464.5k,Zac,Janna,Lulu
Gold II,94,4,2.0,285,555,928,865.1k,0,1.6k,7.2k,1.1m,Zyra,Yorick,Taric
Platinum III,58,4,1.1,231,235,401,628.7k,0,663,9.5k,664.5k,Zilean,Blitzcrank,Nocturne
Platinum IV,37,3,16.7,210,206,197,385.7k,0,394,5.7k,607.3k,Ezreal,"KaiSa",Lucian
Platinum I,0,0,0.0,0,0,0,0,0,0,0,0,Zyra,Graves,Miss Fortune
Platinum I,83,2,1.7,443,361,621,923.4k,0,825,12.9k,1.4m,Ezreal,Lucian,Karma
Platinum III,159,5,3.5,1.1k,1.2k,1.1k,1.9m,0,1.4k,27.5k,3.1m,Renekton,Master Yi,Xin Zhao
Platinum IV,156,7,3.3,700,797,1.5k,1.5m,0,2.4k,14.2k,2.4m,Braum,Thresh,Leona
Platinum IV,22,1,10.8,140,179,195,245.8k,0,193,3.0k,421.6k,Lucian,Vayne,Jhin
Diamond IV,419,24,8.6,1.5k,1.4k,3.8k,4.1m,0,6.1k,45.0k,5.4m,Malzahar,Blitzcrank,Taric
Platinum I,47,0,23.0,391,245,303,582.0k,0,319,8.2k,1.0m,Draven,Yasuo,Gangplank
Bronze III,61,6,1.3,365,400,499,621.2k,0,927,6.7k,1.0m,Miss Fortune,Tristana,Vayne
Silver IV,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Silver I,0,0,0.0,0,0,0,0,0,0,0,0,Twitch,Kindred,Varus
Silver IV,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Gold IV,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Nasus,Ezreal,Zed
Platinum II,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Platinum I,6,0,3.0,29,33,42,70.4k,0,73,1.1k,100.1k,Riven,Jax,Darius
Gold III,29,3,14.2,194,175,192,343.2k,0,277,4.9k,505.7k,Anivia,Yasuo,Vayne
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Aatrox,Ahri,Akali
Bronze I,10,0,5.1,86,67,77,111.9k,0,78,1.2k,187.4k,Jhin,"KhaZix",Aurelion Sol
Bronze III,0,0,0.0,0,0,0,0,0,0,0,0,Rengar,Jarvan IV,Shen
Silver II,0,0,0.0,0,0,0,0,0,0,0,0,Fiora,Miss Fortune,Sona
Silver III,0,0,0.0,0,0,0,0,0,0,0,0,Alistar,Tristana,Braum
Silver III,2,0,1.0,7,8,9,22.9k,0,16,457,18.1k,Vayne,Lux,LeBlanc
Unranked,9,0,5.7,73,83,97,131.5k,0,62,1.5k,277.2k,Tristana,Vayne,Annie
Silver III,0,0,0.0,0,0,0,0,0,0,0,0,Gnar,Aurelion Sol,Rengar
Silver IV,1,0,23.4,2,4,14,8.4k,0,12,17,10.2k,Tristana,Vayne,Graves
Silver I,12,0,6.1,53,89,107,127.5k,0,78,1.6k,199.3k,Twitch,Kindred,Varus
Silver II,0,0,0.0,0,0,0,0,0,0,0,0,Vayne,Jinx,Caitlyn
Silver IV,0,0,0.0,0,0,0,0,0,0,0,0,Jinx,Ezreal,Blitzcrank
Silver IV,0,0,0.0,0,0,0,0,0,0,0,0,Zed,Fiora,Rengar
Gold IV,38,0,17.8,243,236,297,421.0k,0,279,5.5k,739.1k,Udyr,Darius,Ekko
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Darius,Master Yi,Caitlyn
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Katarina,Lux,Sona
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Malphite,Kayle,Jax
Platinum IV,4,0,1.7,23,27,25,38.3k,0,29,473,60.4k,"KaiSa",Ahri,Warwick
Gold IV,0,0,0.0,0,0,0,0,0,0,0,0,Ahri,Vayne,Twisted Fate
Gold II,0,0,0.0,0,0,0,0,0,0,0,0,Malzahar,Janna,Ahri
Gold I,0,0,0.0,0,0,0,0,0,0,0,0,Gangplank,Nasus,Zac
Gold IV,0,0,0.0,0,0,0,0,0,0,0,0,Miss Fortune,Ezreal,Leona
Unranked,1,0,34.8,6,10,17,12.1k,0,8,122,22.9k,Udyr,Tristana,Lucian
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Yasuo,Gragas,Jarvan IV
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Braum,Thresh,Blitzcrank
Gold II,0,0,0.0,0,0,0,0,0,0,0,0,Katarina,Kassadin,Thresh
Platinum IV,24,1,11.3,68,119,177,215.1k,0,310,2.6k,248.5k,Udyr,Ezreal,Rakan
Platinum II,3,0,1.6,8,14,27,29.0k,0,32,416,30.1k,Warwick,Gnar,Xayah
Platinum III,3,0,1.3,11,16,11,26.4k,0,25,435,45.1k,Taliyah,Lux,Shen
Platinum I,61,0,1.2,324,320,319,703.6k,0,747,11.3k,1.0m,Aatrox,Ahri,Akali
Diamond IV,0,0,0.0,0,0,0,0,0,0,0,0,Yasuo,Lucian,Jinx
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Darius,Garen,Master Yi
Unranked,0,0,0.0,0,0,0,0,0,0,0,0,Jayce,Gangplank,Tahm Kench
Challenger,108,1,2.1,815,567,752,1.2m,0,1.1k,15.0k,2.0m,Pantheon,Darius,Renekton
Bronze III,6,0,2.9,23,46,37,56.8k,0,50,615,69.5k,Rengar,Jarvan IV,Shen
Bronze I,0,0,0.0,0,0,0,0,0,0,0,0,Caitlyn,Nami,Janna
Silver II,91,7,1.8,478,479,442,963.3k,1,680,14.7k,1.3m,Fiora,Miss Fortune,Sona
Silver III,66,5,1.4,513,235,469,825.3k,1,601,11.9k,1.3m,Vayne,Lux,LeBlanc
Unranked,125,14,2.7,801,910,1.0k,1.4m,0,810,17.6k,2.6m,Tristana,Vayne,Annie
Silver IV,38,3,18.7,268,195,246,450.1k,0,382,6.6k,688.6k,Tristana,Vayne,Graves
Silver II,13,1,6.4,90,75,88,147.8k,0,154,1.8k,238.7k,Vayne,Jinx,Caitlyn
Silver IV,57,2,1.2,386,313,517,674.0k,0,583,8.7k,1.2m,Jinx,Ezreal,Blitzcrank
Silver IV,3,0,1.5,37,31,25,37.7k,0,21,355,80.7k,Zed,Fiora,Rengar
Gold IV,88,1,1.8,517,509,659,989.7k,0,709,14.3k,1.7m,Udyr,Darius,Ekko
Platinum IV,175,13,3.7,1.5k,940,1.1k,2.3m,5,1.2k,33.6k,3.8m,"KaiSa",Ahri,Warwick
Gold II,59,0,1.3,151,280,689,557.3k,0,1.2k,3.5k,675.5k,Malzahar,Janna,Ahri
Gold I,11,0,6.6,59,90,68,137.0k,0,130,1.9k,266.8k,Gangplank,Nasus,Zac
Gold IV,89,2,1.9,771,525,668,1.1m,1,1.3k,16.6k,1.9m,Miss Fortune,Ezreal,Leona
Silver I,0,0,0.0,0,0,0,0,0,0,0,0,Rengar,Vayne,Master Yi
Unranked,15,1,7.8,76,74,96,162.3k,0,114,2.2k,262.9k,Udyr,Tristana,Lucian
Unranked,51,0,1.1,207,281,376,520.7k,0,549,7.4k,630.1k,Yasuo,Gragas,Jarvan IV
Unranked,59,3,1.2,119,247,848,464.0k,0,1.2k,2.2k,450.7k,Braum,Thresh,Blitzcrank
Gold II,2,0,1.2,15,17,23,26.1k,0,46,149,24.9k,Katarina,Kassadin,Thresh
Silver I,0,0,0.0,0,0,0,0,0,0,0,0,Talon,Sejuani,Varus
Platinum III,0,0,0.0,0,0,0,0,0,0,0,0,Zed,Lee Sin,Yasuo
Platinum IV,295,10,6.0,1.3k,1.3k,1.9k,3.1m,0,3.3k,39.4k,3.5m,Udyr,Ezreal,Rakan
Platinum II,183,9,3.9,1.1k,836,1.7k,2.0m,0,1.9k,25.6k,2.0m,Warwick,Gnar,Xayah
Platinum II,54,2,1.1,284,341,541,571.6k,0,466,6.7k,729.7k,Shyvana,"ChoGath",Nami
Platinum III,54,0,1.1,302,339,565,565.2k,0,709,5.8k,1.0m,Taliyah,Lux,Shen
Platinum I,61,0,1.2,324,320,319,703.6k,0,747,11.3k,1.0m,Riven,Jax,Darius
Unranked,2,1,1.1,8,19,27,20.7k,0,61,101,22.7k,Jayce,Gangplank,Tahm Kench
Challenger,148,2,2.8,1.0k,791,1.1k,1.6m,0,1.6k,20.6k,2.7m,Pantheon,Darius,Renekton
Bronze I,13,1,6.4,19,94,129,95.9k,0,291,215,101.9k,Caitlyn,Nami,Janna
Bronze I,2,0,1.0,9,18,16,17.0k,0,42,118,22.1k,Tahm Kench,"ChoGath",Jayce
Silver I,38,0,17.6,400,214,287,440.6k,0,332,4.2k,755.2k,Yasuo,Lee Sin,Vayne
Silver IV,73,2,1.6,493,395,651,868.4k,0,747,11.4k,1.5m,Jinx,Ezreal,Blitzcrank
Silver IV,63,5,1.3,530,493,458,697.2k,0,593,7.5k,1.3m,Zed,Fiora,Rengar
Gold IV,142,2,2.9,805,829,1.0k,1.6m,0,1.2k,22.6k,2.7m,Udyr,Darius,Ekko
Platinum IV,269,17,5.6,2.1k,1.6k,1.8k,3.3m,5,2.0k,46.7k,5.6m,"KaiSa",Ahri,Warwick
Gold II,59,0,1.3,151,280,689,557.3k,0,1.2k,3.5k,675.5k,Aatrox,Ahri,Akali
Gold I,18,1,9.9,80,120,111,207.7k,0,187,3.0k,367.9k,Gangplank,Nasus,Zac
Gold IV,131,3,2.8,977,793,981,1.6m,1,1.8k,23.0k,2.6m,Miss Fortune,Ezreal,Leona
Silver I,118,5,2.5,1.0k,788,866,1.5m,0,1.0k,18.6k,2.7m,Rengar,Vayne,Master Yi
Gold III,0,0,0.0,0,0,0,0,0,0,0,0,Vayne,Katarina,Thresh
Unranked,120,4,2.6,868,625,886,1.4m,0,828,18.9k,2.2m,Udyr,Tristana,Lucian
Unranked,68,2,1.5,304,380,517,723.9k,0,731,10.4k,918.7k,Yasuo,Gragas,Jarvan IV
Silver I,106,6,2.2,586,613,1.1k,1.1m,0,1.2k,11.6k,1.8m,Talon,Sejuani,Varus
Platinum III,177,9,3.6,1.3k,891,1.3k,2.0m,0,1.7k,28.2k,3.5m,Zed,Lee Sin,Yasuo
Platinum IV,364,15,7.5,1.7k,1.6k,2.4k,3.8m,0,4.1k,50.5k,4.5m,Udyr,Ezreal,Rakan
Platinum II,224,9,4.7,1.3k,1.0k,2.1k,2.5m,0,2.3k,31.8k,2.7m,Warwick,Gnar,Xayah
Platinum II,201,8,4.1,1.2k,1.2k,1.6k,2.3m,0,2.0k,29.4k,3.2m,Shyvana,"ChoGath",Nami
Diamond IV,65,2,1.2,313,234,419,699.2k,0,670,10.9k,963.6k,Yasuo,Lucian,Jinx
Unranked,21,0,9.7,162,111,120,250.8k,0,149,3.2k,383.6k,Kled,Fizz,Kayn
Gold III,43,5,21.1,260,292,251,496.3k,0,405,7.4k,710.3k,Anivia,Yasuo,Vayne
Unranked,36,0,16.4,331,150,156,433.8k,1,286,6.0k,700.0k,Darius,Garen,Master Yi
Bronze III,200,8,4.3,1.4k,1.3k,1.6k,2.2m,0,2.0k,28.7k,4.3m,Aatrox,Ahri,Akali
Bronze II,0,0,0.0,0,0,0,0,0,0,0,0,Brand,Akali,Pyke
Bronze II,203,7,4.3,1.4k,1.4k,1.4k,2.3m,0,2.0k,26.4k,3.4m,Draven,Akali,Jax
Silver II,38,0,18.1,278,292,282,411.9k,0,288,4.9k,746.6k,Lee Sin,Thresh,Amumu
Bronze I,7,0,3.6,41,51,45,73.7k,0,61,983,135.3k,Nasus,Master Yi,Ahri
Bronze II,29,2,14.4,102,196,404,254.7k,0,295,1.3k,344.4k,Thresh,Skarner,Nautilus
Bronze II,72,2,1.6,465,342,411,824.4k,0,329,11.5k,1.3m,Urgot,"VelKoz",Ekko
Bronze III,2,0,1.2,6,17,15,19.6k,0,21,221,20.8k,Nocturne,Soraka,Sona
